Date,Close
16-Jan-2020,1537.90
17-Jan-2020,1581.00
20-Jan-2020,1532.35
21-Jan-2020,1533.90
22-Jan-2020,1533.35
23-Jan-2020,1526.85
24-Jan-2020,1521.55
27-Jan-2020,1506.55
28-Jan-2020,1471.75
29-Jan-2020,1479.85
30-Jan-2020,1443.75
31-Jan-2020,1411.65
01-Feb-2020,1383.35
03-Feb-2020,1385.50
04-Feb-2020,1426.40
05-Feb-2020,1448.50
06-Feb-2020,1457.80
07-Feb-2020,1433.65
10-Feb-2020,1435.60
11-Feb-2020,1452.75
12-Feb-2020,1470.30
13-Feb-2020,1474.15
14-Feb-2020,1487.60
17-Feb-2020,1478.25
18-Feb-2020,1467.40
19-Feb-2020,1503.80
20-Feb-2020,1485.95
24-Feb-2020,1444.95
25-Feb-2020,1416.40
26-Feb-2020,1392.00
27-Feb-2020,1386.25
28-Feb-2020,1328.65
02-Mar-2020,1316.15
03-Mar-2020,1342.85
04-Mar-2020,1339.70
05-Mar-2020,1311.15
06-Mar-2020,1271.00
09-Mar-2020,1114.15
11-Mar-2020,1153.55
12-Mar-2020,1063.00
13-Mar-2020,1105.30
16-Mar-2020,1015.70
17-Mar-2020,1008.00
18-Mar-2020,968.50
19-Mar-2020,917.70
20-Mar-2020,1017.95
23-Mar-2020,884.05
24-Mar-2020,943.40
25-Mar-2020,1082.25
26-Mar-2020,1066.20
27-Mar-2020,1065.60
30-Mar-2020,1030.45
31-Mar-2020,1113.75
01-Apr-2020,1080.45
03-Apr-2020,1077.45
07-Apr-2020,1206.10
08-Apr-2020,1192.15
09-Apr-2020,1219.95
13-Apr-2020,1189.15
15-Apr-2020,1149.85
16-Apr-2020,1168.05
17-Apr-2020,1224.00
20-Apr-2020,1243.80
21-Apr-2020,1237.35
22-Apr-2020,1363.60
23-Apr-2020,1370.90
24-Apr-2020,1417.00
27-Apr-2020,1429.75
28-Apr-2020,1428.15
29-Apr-2020,1426.95
30-Apr-2020,1466.00
04-May-2020,1435.20
05-May-2020,1460.65
06-May-2020,1460.75
07-May-2020,1506.95
08-May-2020,1561.80
11-May-2020,1576.80
12-May-2020,1479.25
13-May-2020,1496.45
14-May-2020,1435.95
15-May-2020,1459.40
18-May-2020,1440.75
19-May-2020,1408.90
20-May-2020,1433.70
21-May-2020,1441.25
22-May-2020,1431.55
26-May-2020,1424.05
27-May-2020,1445.55
28-May-2020,1472.25
29-May-2020,1464.40
01-Jun-2020,1520.35
02-Jun-2020,1535.70
03-Jun-2020,1541.65
04-Jun-2020,1579.80
05-Jun-2020,1581.70
08-Jun-2020,1569.50
09-Jun-2020,1537.15
10-Jun-2020,1572.15
11-Jun-2020,1537.70
12-Jun-2020,1588.80
15-Jun-2020,1614.55
16-Jun-2020,1617.70
17-Jun-2020,1615.35
18-Jun-2020,1655.90
19-Jun-2020,1759.40
22-Jun-2020,1746.15
23-Jun-2020,1720.90
24-Jun-2020,1727.85
25-Jun-2020,1717.90
26-Jun-2020,1741.65
29-Jun-2020,1723.15
30-Jun-2020,1704.10
01-Jul-2020,1737.60
02-Jul-2020,1760.35
03-Jul-2020,1787.90
06-Jul-2020,1851.80
07-Jul-2020,1823.45
08-Jul-2020,1798.00
09-Jul-2020,1824.25
10-Jul-2020,1878.05
13-Jul-2020,1935.00
14-Jul-2020,1917.00
15-Jul-2020,1844.00
16-Jul-2020,1843.40
17-Jul-2020,1911.70
20-Jul-2020,1919.90
21-Jul-2020,1971.55
22-Jul-2020,2004.00
23-Jul-2020,2057.80
24-Jul-2020,2146.15
27-Jul-2020,2156.20
28-Jul-2020,2177.70
29-Jul-2020,2096.65
30-Jul-2020,2108.85
31-Jul-2020,2067.10
03-Aug-2020,2009.00
04-Aug-2020,2150.60
05-Aug-2020,2126.45
06-Aug-2020,2134.10
07-Aug-2020,2146.45
10-Aug-2020,2119.85
11-Aug-2020,2133.80
12-Aug-2020,2127.60
13-Aug-2020,2122.05
14-Aug-2020,2113.80
17-Aug-2020,2091.35
18-Aug-2020,2118.55
19-Aug-2020,2131.55
20-Aug-2020,2097.05
21-Aug-2020,2081.85
24-Aug-2020,2095.75
25-Aug-2020,2082.10
26-Aug-2020,2137.30
27-Aug-2020,2110.60
28-Aug-2020,2116.15
31-Aug-2020,2080.70
01-Sep-2020,2087.25
02-Sep-2020,2128.20
03-Sep-2020,2112.10
04-Sep-2020,2077.25
07-Sep-2020,2082.65
08-Sep-2020,2107.10
09-Sep-2020,2161.35
10-Sep-2020,2314.00
11-Sep-2020,2319.75
14-Sep-2020,2302.55
15-Sep-2020,2318.85
16-Sep-2020,2324.55
17-Sep-2020,2298.75
18-Sep-2020,2305.70
21-Sep-2020,2255.85
22-Sep-2020,2211.15
23-Sep-2020,2230.80
24-Sep-2020,2181.20
25-Sep-2020,2201.70
28-Sep-2020,2216.25
29-Sep-2020,2245.05
30-Sep-2020,2234.35
01-Oct-2020,2225.25
05-Oct-2020,2212.20
06-Oct-2020,2210.35
07-Oct-2020,2257.50
08-Oct-2020,2239.25
09-Oct-2020,2233.45
12-Oct-2020,2237.05
13-Oct-2020,2280.70
14-Oct-2020,2287.50
15-Oct-2020,2206.50
16-Oct-2020,2175.80
19-Oct-2020,2176.20
20-Oct-2020,2155.90
21-Oct-2020,2124.60
22-Oct-2020,2106.95
23-Oct-2020,2113.05
26-Oct-2020,2029.10
27-Oct-2020,2034.50
28-Oct-2020,2011.45
29-Oct-2020,2026.90
30-Oct-2020,2054.50
02-Nov-2020,1877.45
03-Nov-2020,1850.40
04-Nov-2020,1913.20
05-Nov-2020,1955.00
06-Nov-2020,2029.15
